
__MAGICC 7.X DATA OUTPUT FILE__

OUTPUT:  DAT_SURFACE_TEMP
RUN:   SLR_AISSID_RCP26                                                                                                              
RUN_ID:                               1
DATE:   No Date specified.                                                                                                            
MAGICC-VERSION:   7.0.0.1 BETA, MAY 2016                                                                              

&THISFILE_SPECIFICATIONS
 THISFILE_DATACOLUMNS=          0,
 THISFILE_FIRSTYEAR=       1850,
 THISFILE_LASTYEAR=       2500,
 THISFILE_ANNUALSTEPS=          1,
 THISFILE_FIRSTDATAROW=         21,
 THISFILE_UNITS="K                                                                                                   ",
 THISFILE_DATTYPE="FOURBOXDATA                                                                                         ",
 /

   YEARS   GLOBAL    NH-OCEAN   NH-LAND   SH-OCEAN   SH-LAND
      1999      0.12073082E+01      0.94165905E+00      0.15059509E+01      0.11227204E+01      0.16619314E+01
      2000      0.12021418E+01      0.10722823E+01      0.13691152E+01      0.11045647E+01      0.15939306E+01
      2001      0.13681091E+01      0.12293164E+01      0.17414093E+01      0.12482873E+01      0.14555995E+01
      2002      0.14514571E+01      0.12235403E+01      0.18768311E+01      0.12778749E+01      0.18831940E+01
      2003      0.13546535E+01      0.10426532E+01      0.19007238E+01      0.11624445E+01      0.18473002E+01
      2004      0.12854488E+01      0.10976854E+01      0.16403605E+01      0.12025818E+01      0.14059474E+01
      2005      0.13757480E+01      0.11727141E+01      0.18381348E+01      0.12948371E+01      0.13161138E+01
      2006      0.14593345E+01      0.12714248E+01      0.18064804E+01      0.13580764E+01      0.16649551E+01
      2007      0.14595905E+01      0.11510061E+01      0.21242955E+01      0.12132281E+01      0.19092534E+01
      2008      0.12996816E+01      0.11273039E+01      0.17632116E+01      0.11617071E+01      0.13677597E+01
      2009      0.14371333E+01      0.12379267E+01      0.19702021E+01      0.12993882E+01      0.14393692E+01
      2010      0.15135427E+01      0.13028761E+01      0.19503301E+01      0.13799389E+01      0.17244135E+01
      2011      0.15415311E+01      0.12568862E+01      0.19324137E+01      0.13634266E+01      0.22159398E+01
      2012      0.15313986E+01      0.12635665E+01      0.20952911E+01      0.13293598E+01      0.19033915E+01
      2013      0.15580634E+01      0.12701293E+01      0.22364553E+01      0.13440199E+01      0.18017375E+01
      2014      0.15565553E+01      0.14273139E+01      0.18219325E+01      0.14026506E+01      0.19617284E+01
      2015      0.15505511E+01      0.13146438E+01      0.20729268E+01      0.12925673E+01      0.21278636E+01
      2016      0.15329915E+01      0.13885531E+01      0.20898921E+01      0.13095959E+01      0.16585083E+01
      2017      0.15854870E+01      0.14485562E+01      0.21335678E+01      0.13761302E+01      0.16550954E+01
      2018      0.15960572E+01      0.15100926E+01      0.21559321E+01      0.13101405E+01      0.17893244E+01
      2019      0.16896495E+01      0.14697891E+01      0.24570084E+01      0.13727408E+01      0.19543457E+01
      2020      0.16031558E+01      0.14302492E+01      0.21938146E+01      0.13252925E+01      0.19446843E+01
      2021      0.17289029E+01      0.15241432E+01      0.24458466E+01      0.14783528E+01      0.18030879E+01
      2022      0.16841549E+01      0.15105409E+01      0.23256022E+01      0.13828660E+01      0.20141856E+01
      2023      0.17049210E+01      0.16254749E+01      0.23122177E+01      0.13712839E+01      0.19648615E+01
      2024      0.18054300E+01      0.16532477E+01      0.25230255E+01      0.15393752E+01      0.17914251E+01
      2025      0.17808453E+01      0.15877219E+01      0.22366079E+01      0.16219850E+01      0.20003255E+01
      2026      0.17557152E+01      0.15290509E+01      0.23037542E+01      0.14969975E+01      0.22589340E+01
      2027      0.17381999E+01      0.14855441E+01      0.22630463E+01      0.15659282E+01      0.20343882E+01
      2028      0.17861651E+01      0.17198531E+01      0.20173645E+01      0.15897919E+01      0.22456512E+01
      2029      0.17833314E+01      0.16872045E+01      0.19437027E+01      0.16940034E+01      0.20641251E+01
      2030      0.18546578E+01      0.16786005E+01      0.23245188E+01      0.16071004E+01      0.23324763E+01
      2031      0.18109453E+01      0.15589587E+01      0.24807358E+01      0.14374876E+01      0.25722402E+01
      2032      0.17111023E+01      0.15628703E+01      0.22024663E+01      0.14502410E+01      0.21191126E+01
      2033      0.17750057E+01      0.16653697E+01      0.24056575E+01      0.14640337E+01      0.19863536E+01
      2034      0.18413127E+01      0.16988931E+01      0.25917104E+01      0.15126496E+01      0.19702657E+01
      2035      0.20152035E+01      0.19048298E+01      0.27011490E+01      0.17016571E+01      0.21276855E+01
      2036      0.21099777E+01      0.19535772E+01      0.26699854E+01      0.18317376E+01      0.24686381E+01
      2037      0.20793648E+01      0.19172170E+01      0.27622859E+01      0.16329825E+01      0.28406067E+01
      2038      0.20363705E+01      0.17957807E+01      0.29954122E+01      0.16372218E+01      0.22843323E+01
      2039      0.19690733E+01      0.18072849E+01      0.24772339E+01      0.18048942E+01      0.20172221E+01
      2040      0.19445937E+01      0.17175411E+01      0.23322907E+01      0.18161324E+01      0.22795563E+01
      2041      0.19543807E+01      0.16582499E+01      0.26892675E+01      0.16419338E+01      0.24778875E+01
      2042      0.18786993E+01      0.17767550E+01      0.24250819E+01      0.16559539E+01      0.19054413E+01
      2043      0.19013637E+01      0.16470569E+01      0.25647685E+01      0.16725473E+01      0.21377106E+01
      2044      0.18814471E+01      0.17944471E+01      0.22555720E+01      0.16901865E+01      0.20929871E+01
      2045      0.19786820E+01      0.18966903E+01      0.23858261E+01      0.17102582E+01      0.24006322E+01
      2046      0.20570338E+01      0.19144759E+01      0.27667287E+01      0.17513921E+01      0.21811701E+01
      2047      0.20500928E+01      0.17983968E+01      0.28110886E+01      0.17410818E+01      0.23857320E+01
      2048      0.19975924E+01      0.17614863E+01      0.26406403E+01      0.16843082E+01      0.25421448E+01
      2049      0.20016954E+01      0.17758020E+01      0.28475774E+01      0.17357129E+01      0.19344279E+01
      2050      0.20477752E+01      0.18538342E+01      0.25639140E+01      0.18098151E+01      0.24463272E+01
